date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:59	2154/2154	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Apr%202020%2013:54:28%20GMT	https://stmdigitalpro.com/assets/images/favicon.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/favicon.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2031%20Oct%202022%2020:46:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/Torrents/Site%20clonado/www.googletagmanager.com/gtm.b5445.delayed	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:04	38337/38337	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Mar%202022%2013:09:47%20GMT	https://stmdigitalpro.com/assets/images/logo/logo2.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/logo/logo2.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:04	376223/376223	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Apr%202022%2020:02:29%20GMT	https://stmdigitalpro.com/assets/css/main.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/main.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:05	52550/52550	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2021:22:28%20GMT	https://stmdigitalpro.com/assets/images/extra-2/banner/banner-20.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/extra-2/banner/banner-20.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:06	273118/273118	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2017:16:28%20GMT	https://stmdigitalpro.com/assets/images/extra-2/banner/banner-21.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/extra-2/banner/banner-21.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:06	8431/8431	---M--	200	added ('OK')	image/png	date:Sat,%2002%20May%202020%2007:26:42%20GMT	https://stmdigitalpro.com/assets/images/feature/am-fea1.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/feature/am-fea1.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:06	4478/4478	---M--	200	added ('OK')	image/png	date:Sat,%2002%20May%202020%2007:26:42%20GMT	https://stmdigitalpro.com/assets/images/feature/am-fea2.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/feature/am-fea2.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:06	6881/6881	---M--	200	added ('OK')	image/png	date:Sat,%2002%20May%202020%2007:26:42%20GMT	https://stmdigitalpro.com/assets/images/feature/am-fea3.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/feature/am-fea3.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:47:06	5197/5197	---M--	200	added ('OK')	image/png	date:Sat,%2002%20May%202020%2007:26:42%20GMT	https://stmdigitalpro.com/assets/images/feature/am-fea4.png	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/images/feature/am-fea4.png	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
